OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
209,103508,1.32,0.29,1.88,2.26,7.63,2.88,0.28,0.57,0.39,6.55,2.2,1.15,50059.01593,156618029.8
210,103509,1.37,0.3,2.02,2.93,8.45,3.07,0.31,1.12,0.25,7.15,2.69,1.24,50057.51968,156608666.8
211,103510,1.38,0.28,2.03,3.02,9.09,3.51,0.51,1.9,0.34,7.74,2.81,1.28,50056.01044,156599222.8
212,103511,1.51,0.28,2.11,3.5,9.58,4.15,0.79,1.8,0.58,7.68,3.4,1.43,50054.49036,156589711.3
213,103925,1.04,0.16,2.36,1.59,7.1,2.44,0.02,0.84,0.41,6.16,2.75,0.69,50052.8214,156579274
214,103926,1.05,0.2,2.46,1.78,7.32,2.49,0.06,0.72,0.49,6.03,2.53,0.72,50051.42323,156570525.8
215,103927,1.12,0.21,2.59,2.13,7.02,2.88,0.11,0.62,0.54,5.82,2.74,0.9,50050.01344,156561705.2
216,103928,1.12,0.23,2.45,2.34,6.64,2.49,0.13,0.75,0.76,5.69,3.41,1,50048.59174,156552810.4
217,103929,1.16,0.26,2.52,2.07,6.45,2.63,0.3,1.72,0.66,6.92,3.08,1.03,50047.15789,156543839.7
218,103930,1.19,0.24,2.05,1.89,6.87,3.45,0.13,1.71,1.02,7.09,2.67,1.07,50045.71171,156534792.2
219,103931,1.27,0.25,1.97,2.16,7,3.48,0.15,1.67,1.22,6.81,2.66,1.18,50044.25457,156525676.4
220,103932,1.3,0.26,2.18,2.13,7.07,3.3,0.18,0.58,0.61,6.64,2.46,1.11,50042.78331,156516472.5
221,103933,1.31,0.28,2.13,2.31,7.58,2.66,0.24,0.59,0.31,6.36,2.57,1.08,50041.30131,156507201.7
222,103934,1.37,0.28,2.26,3.13,8.52,2.82,0.34,1.07,0.35,7.19,2.99,1.3,50039.80745,156497857
223,103935,1.37,0.3,2.26,3.53,8.8,3.7,0.53,1.56,0.32,7.7,3.03,1.19,50038.30088,156488433.1
224,103936,1.48,0.31,2.16,4.08,9.46,3.38,0.63,1.79,0.35,7.2,3.12,1.41,50036.78281,156478937.5
225,103937,1.66,0.33,2.18,4.39,9.57,3.58,0.88,2.09,0.41,6.86,3.29,1.51,50035.25244,156469365.2
226,103938,1.75,0.37,2.24,4.37,10.1,4.99,0.93,1.72,0.48,6.84,4,1.73,50033.71007,156459718.3
227,103939,1.58,0.38,2.1,3.71,10.5,6.78,0.86,1.36,0.51,6.66,3.68,1.77,50032.15607,156449998.8
228,103940,1.58,0.46,1.88,3.36,11.61,7.08,0.87,1.58,0.51,6.77,3.96,1.83,50030.58976,156440202.7
229,104350,1.03,0.26,2.7,1.86,7.46,2.59,0.01,1.1,0.54,6.22,2.97,0.63,50035.10483,156468447.5
230,104351,1.05,0.26,2.96,2.21,7.72,2.18,0.01,1.06,0.59,6.22,2.91,0.72,50033.70978,156459721.9
231,104352,1.1,0.3,3.09,2.41,6.31,2.58,0.08,0.92,0.48,5.95,3.24,0.85,50032.30274,156450921.7
232,104353,1.19,0.29,2.72,2.33,5.79,2.74,0.15,1.33,0.65,6.08,3.65,0.82,50030.88255,156442039.3
233,104354,1.12,0.27,2.17,1.9,6.56,2.6,0.18,1.53,0.63,6.96,3.06,0.81,50029.45108,156433086.8
234,104355,1.2,0.27,2.12,2.04,7.27,2.39,0.29,1.55,0.77,7.31,2.54,0.86,50028.00733,156424057.7
235,104356,1.25,0.26,2.38,2.33,7.58,3.09,0.47,1.69,1.06,6.8,2.19,0.88,50026.55231,156414958.3
236,104357,1.28,0.29,2.38,2.31,7.57,3.23,0.33,1.11,0.61,6.08,2.35,0.96,50025.08435,156405778.3
237,104358,1.32,0.31,2.36,2.55,8.17,3.32,0.47,0.6,0.33,5.82,2.62,1.09,50023.60516,156396528.4
238,104359,1.35,0.34,2.56,3.51,8.33,2.79,0.57,1.19,0.25,6.44,2.81,1.09,50022.11369,156387201.9
239,104360,1.43,0.37,2.45,3.73,9.01,3.48,0.6,1.22,0.22,6.98,2.53,1.26,50020.60986,156377798.4
240,104361,1.5,0.34,2.22,4.08,9.83,2.84,0.6,1.21,0.44,6.83,2.88,1.36,50019.09379,156368318.7
241,104362,1.56,0.33,2.13,4.29,9.98,3.38,0.8,1.38,0.39,6.39,3.34,1.38,50017.56644,156358768.7
242,104363,1.74,0.4,2.26,4.18,10.51,4.28,0.82,1.49,0.28,6.75,3.85,1.54,50016.02701,156349143.5
243,104364,1.66,0.41,2.13,3.74,10.61,6.25,0.93,1.26,0.27,6.21,3.25,1.67,50014.47498,156339439.8
244,104365,1.68,0.47,2.09,3.67,11.33,7.32,1.05,1.28,0.37,6.58,3.14,1.81,50012.91135,156329664
245,104366,1.64,0.52,1.88,3.76,11.44,6.38,1.58,1.36,0.46,6.16,3.6,1.97,50011.33613,156319815.9
246,104777,1.2,0.3,3,2.47,6.15,2.9,0.08,1.19,0.64,5.89,3.81,0.78,50014.60885,156340282.3
247,104778,1.23,0.31,2.75,2.38,6.53,2.62,0.2,1.34,0.66,5.94,3.57,0.81,50013.1911,156331418.4
248,104779,1.08,0.3,2.72,2.2,6.53,2.25,0.32,0.87,0.69,6.51,2.73,0.84,50011.76267,156322488
249,104780,1.15,0.31,2.67,2.36,7.27,2.55,0.55,0.75,0.81,6.57,2.33,0.85,50010.32106,156313475.4
250,104781,1.28,0.37,2.71,2.53,7.34,2.72,0.4,0.79,0.91,6.2,2.21,0.81,50008.86852,156304394.8
251,104782,1.33,0.37,2.52,2.46,7.5,2.83,0.39,0.4,0.72,5.75,2.43,0.78,50007.40391,156295239.1
252,104783,1.28,0.34,2.55,2.71,8.03,2.65,0.92,0.45,0.31,5.6,2.88,1.01,50005.92612,156286001.1
253,104784,1.33,0.36,2.51,3.51,8.45,2.8,0.78,1.3,0.22,5.77,2.72,0.93,50004.43704,156276692.9
254,104785,1.41,0.38,2.44,3.57,9.79,3.28,0.61,0.91,0.31,6.26,2.51,1.18,50002.9366,156267313.9
255,104786,1.47,0.37,2.27,3.98,9.63,3.33,0.66,0.74,0.32,6.46,2.87,1.34,50001.4229,156257852.3
256,104787,1.61,0.43,2.05,3.99,10.54,3.84,0.73,1.29,0.41,5.81,3.19,1.45,49999.89819,156248322.3
257,104788,1.7,0.42,2,3.7,9.9,4.76,0.91,1.42,0.39,5.39,2.83,1.45,49998.36153,156238717.8
258,104789,1.72,0.47,2.11,4,10.63,5.99,1.17,1.23,0.22,5.85,2.65,1.66,49996.81249,156229036.2
259,104790,1.71,0.5,2.04,3.91,10.68,6.02,1.33,0.96,0.39,5.96,2.87,1.64,49995.2512,156219278.4
260,104791,1.73,0.52,2.17,3.85,11.53,5.2,1.66,0.86,0.34,6.23,3.32,1.85,49993.67889,156209452
261,105202,1.17,0.33,2.97,2.93,6.04,3.17,0,1.41,0.69,5.65,3.64,0.67,49996.93371,156229799.3
262,105203,1.12,0.35,3.01,2.57,6.18,2.72,0.08,1.18,0.81,5.88,2.84,0.73,49995.51877,156220956.1
263,105204,1.16,0.37,2.92,2.39,6.64,2.44,0.18,1.18,0.7,6.03,2.43,0.79,49994.09279,156212044.1
264,105205,1.19,0.38,2.78,2.55,7.35,3.26,0.19,0.82,0.89,6.04,2.24,0.73,49992.65355,156203049.6
265,105206,1.28,0.39,2.61,2.73,7.7,3.13,0.15,0.53,0.77,5.91,2.28,0.68,49991.20343,156193987.3
266,105207,1.34,0.38,2.59,2.47,7.59,2.69,0.41,0.28,0.58,5.73,2.87,0.68,49989.74058,156184845.7
267,105208,1.31,0.39,2.77,2.95,7.98,2.81,0.65,0.44,0.35,5.67,3.19,0.75,49988.26584,156175630.2
268,105209,1.43,0.41,2.67,3.37,9.04,2.87,0.71,1.23,0.34,5.67,2.91,0.86,49986.7798,156166344.2
269,105210,1.44,0.45,2.54,3.49,9.62,3.48,0.49,0.67,0.3,6.1,2.85,1.02,49985.28145,156156981.6
270,105211,1.6,0.46,2.35,3.71,9.78,3.6,0.86,0.76,0.36,6.24,2.94,1.25,49983.77107,156147544.1
271,105212,1.61,0.48,2.4,3.94,9.94,4.17,1.27,1.21,0.32,6.05,3.02,1.28,49982.24843,156138030.3
272,105213,1.79,0.52,2.53,3.99,10.09,4.62,1.68,1.1,0.36,6.21,2.77,1.42,49980.71412,156128443.9
273,105214,1.84,0.57,2.33,4.12,10.11,6.1,1.43,1.16,0.29,6.19,2.79,1.55,49979.16778,156118782.6
274,105215,1.75,0.57,2.19,3.96,10.16,5.55,1.67,0.91,0.21,5.75,2.93,1.55,49977.60982,156109049.1
275,105216,1.68,0.59,2.2,3.74,10.82,4.56,1.32,0.99,0.21,6.76,3.12,1.63,49976.04048,156099244.7
276,105627,1.12,0.32,2.68,2.95,5.89,2.46,0.05,0.7,0.52,6.49,3.1,0.7,49979.27703,156119470.7
277,105628,1.15,0.38,2.57,2.65,6.39,2.69,0.17,0.66,0.58,6.82,2.62,0.59,49977.86449,156110645.6
278,105629,1.19,0.41,2.51,2.6,6.88,2.7,0.27,0.56,0.6,6.24,2.4,0.78,49976.44101,156101752.4
279,105630,1.26,0.4,2.44,2.75,7.88,2.98,0.16,0.88,0.86,6,2.41,0.73,49975.0042,156092776.2
280,105631,1.34,0.39,2.45,2.64,7.96,2.88,0.21,0.67,0.82,6.14,2.59,0.64,49973.5568,156083734.1
281,105632,1.34,0.36,2.49,2.65,7.8,2.65,0.26,0.39,0.68,6.01,2.99,0.67,49972.09643,156074611.3
282,105633,1.36,0.4,2.52,3.3,7.95,3.01,0.35,0.48,0.58,6.01,3.42,0.64,49970.62446,156065416.2
283,105634,1.41,0.42,2.6,3.29,9.39,3.42,0.65,0.59,0.44,5.81,3.43,0.91,49969.14009,156056144
284,105635,1.49,0.44,2.46,3.37,9.7,3.82,0.61,0.44,0.44,5.82,3.2,1.07,49967.64477,156046803.7
285,106052,1.16,0.33,2.25,2.73,7.12,2.23,0.13,0.37,0.54,7.77,2.82,0.73,49961.63815,156009292.2
286,106053,1.22,0.39,2.13,2.79,6.66,2.37,0.22,0.28,0.58,8.57,2.62,0.62,49960.22801,156000485.2
287,106054,1.25,0.39,1.95,3.1,7.96,2.45,0.24,0.33,0.55,7.78,2.42,0.72,49958.80662,155991608.2
288,106055,1.33,0.37,1.84,2.74,8.39,2.23,0.19,0.55,0.58,6.65,2.67,0.65,49957.37296,155982654.9
289,106056,1.34,0.32,1.93,2.82,7.92,2.43,0.27,0.55,0.65,6.24,2.95,0.54,49955.92728,155973626.7
290,106057,1.28,0.35,2.05,2.93,7.9,2.68,0.33,0.41,0.78,5.84,3.6,0.59,49954.46938,155964522.5
291,106058,1.38,0.43,2.19,3.18,8.12,3.2,0.28,0.63,0.61,5.88,3.73,0.7,49953.00076,155955351.6
292,106059,1.46,0.44,2.18,3.02,9.26,3.46,0.57,0.45,0.52,5.71,3.39,0.87,49951.51915,155946099.9
293,106060,1.53,0.44,2.16,3.11,8.95,3.96,0.83,0.38,0.55,5.39,2.65,0.95,49950.02592,155936775.9
294,106061,1.65,0.51,2.08,3.52,8.55,3.25,1.35,0.94,0.39,5.87,2.41,1.09,49948.52065,155927376.9
295,106062,1.69,0.57,2.07,3.96,9.5,2.74,1.38,1.39,0.48,6.99,2.42,1.13,49947.00309,155917901.6
296,106063,1.69,0.62,2.09,4.72,10.21,3.62,1.67,1,0.33,7.2,2.73,1.28,49945.4745,155908357.6
297,106064,1.71,0.58,2,4.76,10.86,4.82,1.59,1.05,0.2,7,2.96,1.35,49943.93385,155898738.7
298,106065,1.83,0.6,2.04,4.77,11.11,4.62,1.21,1.1,0.29,7.08,2.95,1.65,49942.38085,155889042.9
299,106066,2.15,0.57,1.89,4.71,11.16,3.74,1.7,1.11,0.21,6.88,2.62,1.54,49940.81586,155879272.6
300,106479,1.31,0.36,1.93,3.12,9.22,1.89,0.14,0.37,0.52,8.1,2.34,0.65,49941.19134,155881622.2
301,106480,1.29,0.37,1.77,2.85,8.36,2.13,0.18,0.35,0.6,7.56,2.75,0.68,49939.76048,155872689.5
302,106481,1.31,0.33,1.54,2.88,7.1,2.21,0.28,0.31,0.54,6.48,3.38,0.46,49938.31693,155863677.8
303,106482,1.29,0.36,1.94,2.91,7.55,2.43,0.21,0.43,0.7,6.61,3.3,0.6,49936.86205,155854595.6
304,106483,1.47,0.4,1.87,3.05,7.94,3.05,0.31,0.57,0.59,6.9,3.31,0.74,49935.39488,155845437
305,106484,1.53,0.44,1.75,3.16,8.15,2.84,0.97,0.35,0.5,6.52,2.47,0.87,49933.91638,155836208
306,106485,1.65,0.5,1.83,3.4,7.86,3.14,0.78,0.67,0.44,5.92,2.23,0.91,49932.42518,155826899.9
307,106486,1.63,0.54,2,3.68,8.56,2.52,1.12,1.1,0.48,5.48,2.26,1.09,49930.92264,155817521.4
308,106487,1.65,0.58,2.1,4.36,9.57,2.37,1.62,1.37,0.66,5.76,2.3,1.31,49929.4084,155808070
309,106488,1.69,0.6,1.96,4.54,10.4,3.09,1.74,1.12,0.34,7.21,2.62,1.31,49927.88186,155798542.3
310,106489,1.86,0.54,2.05,4.58,10.59,4.44,1.88,0.92,0.18,8.03,2.94,1.3,49926.34356,155788941.4
311,106907,1.52,0.38,1.8,2.92,7.92,2.59,0.2,0.24,0.74,8.46,2.98,0.68,49919.27223,155744816.8
312,106908,1.62,0.43,1.58,3.18,7.74,2.97,0.52,0.19,0.65,8.22,2.47,0.83,49917.80747,155735676.5
313,106909,1.61,0.51,1.59,3.27,7.62,2.54,0.54,0.29,0.47,7.01,2.2,0.81,49916.33137,155726465.6
314,106910,1.62,0.55,1.73,3.72,7.37,2.76,0.73,0.41,0.49,5.7,2.02,0.93,49914.84327,155717180.2
315,106911,1.69,0.56,1.83,3.81,7.67,2.66,0.56,0.86,0.44,5.16,1.91,1.07,49913.34275,155707817.6
316,106914,2.24,0.6,1.84,4.69,10.62,3.3,1.92,1.23,0.22,8.05,3.27,1.4,49908.77182,155679298.4
