OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
49,107344,2.56,0.72,1.97,2.81,12.82,5.15,0.14,0.76,0.06,6.13,3.33,1.04,49883.37462,155520892.6
50,107758,1.63,0.48,1.76,3.97,7.35,3.35,0.6,0.25,0.51,8.22,1.83,0.8,49882.68728,155516612
51,107759,1.65,0.49,1.9,4.39,8.22,2.63,0.26,0.26,0.51,7.14,1.76,0.75,49881.21539,155507433.9
52,107760,1.77,0.58,2,4.54,8,2.22,0.34,0.28,0.5,6.18,1.81,1,49879.73243,155498187
53,107761,2.04,0.62,2.23,4.5,8.27,3.2,0.42,0.34,0.42,6.12,1.86,1.15,49878.23745,155488865.5
54,107762,2.26,0.62,1.87,4.28,8.92,4.65,1.09,0.4,0.45,6.54,2.14,1.44,49876.73103,155479472.9
55,107763,2.12,0.63,1.76,3.81,10.08,4.11,1.94,1.19,0.2,7.04,2.59,1.43,49875.21258,155470005.6
56,107764,2.23,0.66,1.78,3.51,10.85,3.64,1.64,0.98,0.15,8.08,2.71,1.54,49873.68204,155460463.2
57,107765,2.61,0.66,1.86,3.28,11.13,4.86,1.24,0.71,0.12,8.21,2.52,1.26,49872.14018,155450850.6
58,107766,2.66,0.64,1.87,3.53,11.16,5.29,1.25,0.63,0.16,7.08,2.43,1.08,49870.58557,155441158.7
59,107767,2.41,0.7,1.81,3.16,11.89,4.38,1.21,0.77,0.09,6.47,2.87,0.87,49869.02046,155431401.7
60,107768,2.55,0.71,2.1,3.38,12.08,4.19,0.81,0.77,0.06,6.04,3.09,0.9,49867.44272,155421566.2
61,107769,2.44,0.76,2.04,3.34,12.75,4.34,0.1,0.55,0.02,6.16,3.15,0.98,49865.85257,155411653.8
62,108185,1.98,0.59,2.11,4.97,7.57,2.03,0.22,0.31,0.33,6.34,1.94,0.89,49862.20422,155388917.8
63,108186,2.17,0.57,2.15,4.28,7.69,3.04,0.54,0.27,0.37,6.56,2,1.14,49860.71227,155379618.4
64,108187,2.02,0.59,1.74,4.06,8.25,3.79,1.17,0.34,0.32,6.62,2.21,1.11,49859.20822,155370243.9
65,108188,2.17,0.63,1.74,3.62,9.98,4.83,1.81,0.75,0.24,6.94,2.77,1.43,49857.6919,155360793.2
66,108189,2.32,0.65,1.7,3.76,11,4.61,1.68,0.94,0.15,7.64,2.55,1.38,49856.16407,155351271.1
67,108190,2.48,0.67,1.84,3.28,10.64,5.04,1.16,0.68,0.09,7.77,2.42,1.07,49854.62492,155341678.6
68,108191,2.47,0.73,1.78,3.27,10.67,5.08,1.14,0.48,0.1,7.33,2.77,0.82,49853.07299,155332006.9
69,108192,2.3,0.71,1.83,3.53,12.03,3.46,1.1,0.48,0.08,6.82,2.71,0.75,49851.50997,155322266.4
70,108193,2.22,0.72,1.83,4.02,12.86,4.11,0.61,0.49,0.05,6.53,2.97,0.81,49849.93549,155312454.7
71,108611,2.07,0.61,1.91,3.52,7.92,2.83,0.63,0.34,0.29,7.05,2.39,1.06,49843.20461,155270518.9
72,108612,2.02,0.57,1.71,3.89,8.46,3.56,1.22,0.41,0.26,6.7,2.01,1.29,49841.70264,155261160.7
73,108613,2.25,0.65,1.7,3.65,10.24,4.66,1.79,1.07,0.21,7.51,2.19,1.57,49840.18934,155251732.1
74,108614,2.16,0.69,1.67,3.17,10.18,5.53,1.61,0.61,0.15,6.88,2.25,1.23,49838.66423,155242230.2
75,108615,2.42,0.68,1.73,3.27,9.99,5.59,0.93,0.58,0.09,7.12,2.44,1.1,49837.12747,155232656.1
76,108616,2.23,0.67,1.67,3.02,10.27,4.31,1.14,0.34,0.06,7.34,2.45,0.73,49835.5789,155223008.7
77,108617,2.32,0.66,1.77,3.99,12.41,3.62,0.95,0.57,0.06,7.22,2.34,0.67,49834.01784,155213283.7
78,109464,2.33,0.58,1.65,2.8,9.8,4.48,1.52,0.32,0.12,8.15,2.03,1.05,49803.71895,155024602.1
79,109465,2.19,0.54,1.72,3.11,10.17,4.29,1.35,0.26,0.06,8.36,2.19,0.66,49802.18666,155015062.5
80,109466,2,0.56,1.72,3.22,10.56,3.79,1.19,0.17,0.02,8.82,2.31,0.74,49800.64347,155005455.3
81,109467,2.02,0.54,1.66,3.13,11.72,3.43,0.68,0.16,0.03,8.56,2.39,0.79,49799.08755,154995769.2
82,109468,2.16,0.52,1.76,3.13,12.58,3.9,0.47,0.05,0.06,8.68,2.63,0.86,49797.52115,154986018.2
83,109891,1.87,0.49,1.65,2.7,11.28,4.89,1.2,0.07,0.04,10.03,2.62,0.87,49783.20287,154896904.6
84,109892,2.02,0.46,1.7,2.85,12.13,4.94,0.62,0.06,0.05,10.69,2.72,0.88,49781.65022,154887242.2
85,109893,2.32,0.48,1.72,2.89,13.39,4.57,0.46,0.08,0.11,10.63,2.84,0.93,49780.08584,154877507.2
