Date,Discharge,baseflow,interpolation,baseflow
7/23/2015,332,332,332,332
7/24/2015,330,330,330,330
7/25/2015,332,332,332,332
7/26/2015,335,335,335,335
7/27/2015,329,329,329,329
7/28/2015,329,329,329,329
7/29/2015,326,326,326,326
7/30/2015,323,323,323,323
7/31/2015,321,321,321,321
8/1/2015,319,319,319,319
8/2/2015,318,318,318,318
8/3/2015,314,314,314,314
8/4/2015,311,,308.5,308.5
8/5/2015,303,303,303,303
8/6/2015,301,301,301,301
8/7/2015,296,296,296,296
8/8/2015,299,,294,294
8/9/2015,292,292,292,292
8/10/2015,288,288,288,288
8/11/2015,286,,281,281
8/12/2015,274,274,274,274
8/13/2015,274,274,274,274
8/14/2015,270,270,270,270
8/15/2015,270,270,270,270
8/16/2015,268,268,268,268
8/17/2015,264,,262.5,262.5
8/18/2015,257,257,257,257
8/19/2015,255,255,255,255
8/20/2015,253,253,253,253
8/21/2015,252,252,252,252
8/22/2015,255,255,255,255
8/23/2015,252,,250.5,250.5
8/24/2015,246,246,246,246
8/25/2015,243,,240.6666667,240.6666667
8/26/2015,235,,235.3333333,235
8/27/2015,230,230,230,230
8/28/2015,228,228,228,228
8/29/2015,227,227,227,227
8/30/2015,228,228,228,228
8/31/2015,227,227,227,227
9/1/2015,223,223,223,223
9/2/2015,224,224,224,224
9/3/2015,221,221,221,221
9/4/2015,220,220,220,220
9/5/2015,220,220,220,220
9/6/2015,225,,222.5,222.5
9/7/2015,225,225,225,225
9/8/2015,221,221,221,221
9/9/2015,220,,218,218
9/10/2015,215,215,215,215
9/11/2015,221,,219,219
9/12/2015,226,,223,223
9/13/2015,227,227,227,227
9/14/2015,226,226,226,226
9/15/2015,225,225,225,225
9/16/2015,223,223,223,223
9/17/2015,220,220,220,220
9/18/2015,217,217,217,217
9/19/2015,217,217,217,217
9/20/2015,218,218,218,218
9/21/2015,214,,213,213
9/22/2015,208,208,208,208
9/23/2015,205,205,205,205
9/24/2015,204,204,204,204
9/25/2015,203,203,203,203
9/26/2015,206,206,206,206
9/27/2015,209,209,209,209
9/28/2015,206,,204,204
